id,startTime,duration,endTime,totalPausedTime,completed,stopped,type,tags
150,2024-08-13T13:00:00+05:30,3600,2024-08-13T14:00:00+05:30,0,Y,,Work,Maths lecture 
145,2024-08-13T18:20:00+05:30,4677,2024-08-13T19:37:57+05:30,0,Y,,Work,School 
151,2024-08-13T22:19:00+05:30,5747,2024-08-13T23:54:47+05:30,0,Y,,Work,School 
152,2024-08-14T00:36:00+05:30,2779,2024-08-14T01:22:19+05:30,0,Y,,Work,School 
153,2024-08-14T06:00:00+05:30,3600,2024-08-14T07:00:00+05:30,0,Y,,Work,School 
154,2024-08-14T08:00:00+05:30,7200,2024-08-14T10:00:00+05:30,0,Y,,Work,School 
155,2024-08-14T10:00:00+05:30,4380,2024-08-14T11:13:00+05:30,0,Y,,Work,School 
156,2024-08-14T12:30:00+05:30,1773,2024-08-14T12:59:33+05:30,0,Y,,Work,Maths revision 
157,2024-08-14T13:00:00+05:30,4840,2024-08-14T14:20:40+05:30,0,Y,,Work,Chemistry revision 
158,2024-08-14T14:35:00+05:30,1690,2024-08-14T15:03:10+05:30,0,Y,,Work,Phy revision 
159,2024-08-14T16:00:00+05:30,7200,2024-08-14T18:00:00+05:30,0,Y,,Work,Test
160,2024-08-14T18:00:00+05:30,3780,2024-08-14T19:03:00+05:30,0,Y,,Work,Test
161,2024-08-15T19:57:00+05:30,4784,2024-08-15T21:16:44+05:30,0,Y,,Work,School 
162,2024-08-15T21:30:00+05:30,4234,2024-08-15T22:40:34+05:30,0,Y,,Work,Phy revision 
163,2024-08-16T12:05:00+05:30,5716,2024-08-16T13:40:16+05:30,0,Y,,Work,Phy revision 
164,2024-08-16T15:34:00+05:30,14752,2024-08-16T19:39:52+05:30,0,Y,,Work,Phy prac
231,2024-08-17T10:00:00+05:30,7200,2024-08-17T12:00:00+05:30,0,Y,,Work,Maths lecture 
232,2024-08-17T12:00:00+05:30,7200,2024-08-17T14:00:00+05:30,0,Y,,Work,"Maths revision ,Phy revision "
236,2024-08-18T06:00:00+05:30,7200,2024-08-18T08:00:00+05:30,0,Y,,Work,"Phy revision ,Maths revision "
237,2024-08-18T08:00:00+05:30,3600,2024-08-18T09:00:00+05:30,0,Y,,Work,Chemistry revision 
233,2024-08-18T10:00:00+05:30,7200,2024-08-18T12:00:00+05:30,0,Y,,Work,Test
235,2024-08-18T12:00:00+05:30,7200,2024-08-18T14:00:00+05:30,0,Y,,Work,Maths lecture 
234,2024-08-18T12:00:00+05:30,3600,2024-08-18T13:00:00+05:30,0,Y,,Work,Test
166,2024-08-19T19:32:00+05:30,1554,2024-08-19T19:57:54+05:30,0,Y,,Work,Maths revision 
167,2024-08-20T09:20:00+05:30,7306,2024-08-20T11:21:46+05:30,0,Y,,Work,Maths revision 
170,2024-08-20T11:30:00+05:30,7200,2024-08-20T13:30:00+05:30,0,Y,,Work,Phy prac
171,2024-08-20T13:35:00+05:30,5220,2024-08-20T15:02:00+05:30,0,Y,,Work,Maths lecture 
168,2024-08-20T16:48:00+05:30,9167,2024-08-20T19:20:47+05:30,0,Y,,Work,Maths practice 
169,2024-08-20T20:30:00+05:30,5090,2024-08-20T21:54:50+05:30,0,Y,,Work,Phy revision 
178,2024-08-21T01:00:00+05:30,3960,2024-08-21T02:06:00+05:30,0,Y,,Work,School 
173,2024-08-21T08:00:00+05:30,7200,2024-08-21T10:00:00+05:30,0,Y,,Work,School 
